order_time, settle_time, hold_time, algorithm, side, profit
2018-08-21 08:00:00,2018-08-21 12:50:40,17440.0,# in  Algorithm,buy,0.5330000000000155
2018-08-21 13:00:00,2018-08-21 22:49:00,35340.0,# in  Algorithm,buy,0.5079999999999814
2018-08-21 23:00:00,2018-08-22 03:15:00,15300.0,# in  Algorithm,buy,0.5120000000000005
2018-08-22 04:00:00,2018-08-23 19:49:50,143390.0,# in  Algorithm,buy,0.5150000000000148
2018-08-23 21:00:00,2018-08-25 05:00:00,115200.0,# in  Algorithm,buy,0.05700000000001637
2018-08-28 08:00:00,2018-08-29 22:57:50,140270.0,# in  Algorithm,buy,0.5229999999999961
2018-08-29 23:00:00,2018-08-29 23:45:30,2730.0,# in  Algorithm,sell,-0.5099999999999909
2018-08-30 04:00:00,2018-08-30 22:05:40,65140.0,# in  Algorithm,sell,0.5229999999999961
2018-08-31 00:00:00,2018-08-31 06:01:40,21700.0,# in  Algorithm,buy,-0.5459999999999923
2018-08-31 09:00:00,2018-08-31 20:33:50,41630.0,# in  Algorithm,sell,0.5120000000000005
2018-08-31 21:00:00,2018-09-01 05:00:00,28800.0,# in  Algorithm,sell,-0.1839999999999975
2018-09-04 09:00:00,2018-09-05 09:56:10,89770.0,# in  Algorithm,sell,-0.5170000000000243
2018-09-05 10:00:00,2018-09-05 15:53:00,21180.0,# in  Algorithm,buy,-0.5049999999999955
2018-09-05 19:00:00,2018-09-05 22:05:40,11140.0,# in  Algorithm,buy,0.5649999999999977
2018-09-05 23:00:00,2018-09-06 00:04:50,3890.0,# in  Algorithm,buy,-0.52800000000002
2018-09-06 02:00:00,2018-09-07 00:12:10,79930.0,# in  Algorithm,buy,-0.5049999999999955
2018-09-07 04:00:00,2018-09-07 08:37:20,16640.0,# in  Algorithm,buy,-0.5030000000000143
2018-09-07 10:00:00,2018-09-07 16:36:50,23810.0,# in  Algorithm,sell,-0.5019999999999811
2018-09-07 19:00:00,2018-09-07 19:47:00,2820.0,# in  Algorithm,sell,-0.5159999999999911
2018-09-07 22:00:00,2018-09-08 00:06:50,7610.0,# in  Algorithm,sell,-0.5589999999999975
2018-09-11 11:00:00,2018-09-11 16:17:50,19070.0,# in  Algorithm,buy,0.603999999999985
2018-09-11 17:00:00,2018-09-11 17:47:30,2850.0,# in  Algorithm,buy,-0.7959999999999923
2018-09-11 18:00:00,2018-09-11 20:58:50,10730.0,# in  Algorithm,buy,-0.5440000000000111
2018-09-12 00:00:00,2018-09-12 05:17:50,19070.0,# in  Algorithm,buy,0.5130000000000052
2018-09-12 08:00:00,2018-09-12 19:58:30,43110.0,# in  Algorithm,buy,-0.5100000000000193
2018-09-12 22:00:00,2018-09-13 00:19:20,8360.0,# in  Algorithm,buy,0.5180000000000007
2018-09-13 01:00:00,2018-09-13 18:06:40,61600.0,# in  Algorithm,buy,0.5230000000000246
2018-09-13 22:00:00,2018-09-13 22:50:40,3040.0,# in  Algorithm,sell,-0.5010000000000048
2018-09-14 04:00:00,2018-09-15 05:00:00,90000.0,# in  Algorithm,sell,0.36199999999999477
